linha;bus1;bus2;P_kW;P_abs_kW;sentido;cenario;penetracao_pct;pv_total_kw;pmpp_por_pv_kw;kva_por_pv
linha_1;10;20;815,5185288454516;815,5185288454516;direto;PEN_100;100;3000,0;500,0;550,0
linha_2;20;30;404,48071528982064;404,48071528982064;direto;PEN_100;100;3000,0;500,0;550,0
linha_3;30;40;-612,5205348353448;612,5205348353448;reverso;PEN_100;100;3000,0;500,0;550,0
linha_4;40;50;-695,7871081350776;695,7871081350776;reverso;PEN_100;100;3000,0;500,0;550,0
linha_5;50;60;-779,2836557150456;779,2836557150456;reverso;PEN_100;100;3000,0;500,0;550,0
linha_6;60;70;-1791,7429642988695;1791,7429642988695;reverso;PEN_100;100;3000,0;500,0;550,0
linha_7;70;80;-1893,1096832426601;1893,1096832426601;reverso;PEN_100;100;3000,0;500,0;550,0
linha_8;80;90;-2023,8580101708826;2023,8580101708826;reverso;PEN_100;100;3000,0;500,0;550,0
linha_9;90;100;-2146,556771743206;2146,556771743206;reverso;PEN_100;100;3000,0;500,0;550,0
linha_10;100;110;-2273,5240422025863;2273,5240422025863;reverso;PEN_100;100;3000,0;500,0;550,0
linha_11;110;120;-2383,4748451862265;2383,4748451862265;reverso;PEN_100;100;3000,0;500,0;550,0
linha_12;120;130;-2499,1602327167875;2499,1602327167875;reverso;PEN_100;100;3000,0;500,0;550,0
linha_13;130;140;-2138,851536990137;2138,851536990137;reverso;PEN_100;100;3000,0;500,0;550,0
linha_14;140;150;-1722,6075987831982;1722,6075987831982;reverso;PEN_100;100;3000,0;500,0;550,0
linha_15;150;160;-1299,7121821814526;1299,7121821814526;reverso;PEN_100;100;3000,0;500,0;550,0
linha_16;160;170;-871,3285284772769;871,3285284772769;reverso;PEN_100;100;3000,0;500,0;550,0
linha_17;170;180;-437,967392762377;437,967392762377;reverso;PEN_100;100;3000,0;500,0;550,0
linha_18;20;190;360,71891706052173;360,71891706052173;direto;PEN_100;100;3000,0;500,0;550,0
linha_19;190;200;270,61705020968253;270,61705020968253;direto;PEN_100;100;3000,0;500,0;550,0
linha_20;200;210;180,0913334057626;180,0913334057626;direto;PEN_100;100;3000,0;500,0;550,0
linha_21;210;220;90,02762692345651;90,02762692345651;direto;PEN_100;100;3000,0;500,0;550,0
linha_22;30;230;933,969430740535;933,969430740535;direto;PEN_100;100;3000,0;500,0;550,0
linha_23;230;240;622,0866782773869;622,0866782773869;direto;PEN_100;100;3000,0;500,0;550,0
linha_24;240;250;310,4175805794248;310,4175805794248;direto;PEN_100;100;3000,0;500,0;550,0
linha_25;60;260;926,9793318995132;926,9793318995132;direto;PEN_100;100;3000,0;500,0;550,0
linha_26;260;270;810,8489139065723;810,8489139065723;direto;PEN_100;100;3000,0;500,0;550,0
linha_27;270;280;694,9101363561526;694,9101363561526;direto;PEN_100;100;3000,0;500,0;550,0
linha_28;280;290;577,474107578638;577,474107578638;direto;PEN_100;100;3000,0;500,0;550,0
linha_29;290;300;461,18715282212054;461,18715282212054;direto;PEN_100;100;3000,0;500,0;550,0
linha_30;300;310;345,6662179067334;345,6662179067334;direto;PEN_100;100;3000,0;500,0;550,0
linha_31;310;320;230,10332223265334;230,10332223265334;direto;PEN_100;100;3000,0;500,0;550,0
linha_32;320;330;115,02277892835528;115,02277892835528;direto;PEN_100;100;3000,0;500,0;550,0
