arquivo;caminho;cenario;barra_pv;I1_A;THDi_manual_pct;I3_A;I5_A;I7_A;I9_A;I11_A;I13_A;I15_A
IEEE33_bus_Mon_mon_pv_130_1.csv;D:\Notebook\TCC\MTcc\IEEE33\IEEE_Final\metodologia\03_penetracao_pv\01_dados_brutos_monitores\PEN_100\IEEE33_bus_Mon_mon_pv_130_1.csv;PEN_100;130;1206,79;15,621265377095487;104,76;103,402;109,426;30,9222;22,1215;17,9636;11,3718
IEEE33_bus_Mon_mon_pv_140_1.csv;D:\Notebook\TCC\MTcc\IEEE33\IEEE_Final\metodologia\03_penetracao_pv\01_dados_brutos_monitores\PEN_100\IEEE33_bus_Mon_mon_pv_140_1.csv;PEN_100;140;1212,26;14,673232831531694;102,843;97,0217;100,234;29,1712;19,6897;15,8733;10,6365
IEEE33_bus_Mon_mon_pv_150_1.csv;D:\Notebook\TCC\MTcc\IEEE33\IEEE_Final\metodologia\03_penetracao_pv\01_dados_brutos_monitores\PEN_100\IEEE33_bus_Mon_mon_pv_150_1.csv;PEN_100;150;1217,19;14,09128633392816;101,497;93,1745;94,848;27,9443;18,3509;14,7701;10,1619
IEEE33_bus_Mon_mon_pv_160_1.csv;D:\Notebook\TCC\MTcc\IEEE33\IEEE_Final\metodologia\03_penetracao_pv\01_dados_brutos_monitores\PEN_100\IEEE33_bus_Mon_mon_pv_160_1.csv;PEN_100;160;1221,93;13,647907069552662;100,574;90,169;90,7546;27,0719;17,4007;14,0252;9,85743
IEEE33_bus_Mon_mon_pv_170_1.csv;D:\Notebook\TCC\MTcc\IEEE33\IEEE_Final\metodologia\03_penetracao_pv\01_dados_brutos_monitores\PEN_100\IEEE33_bus_Mon_mon_pv_170_1.csv;PEN_100;170;1227,21;12,863969078016178;99,6428;83,9819;82,1858;26,2589;15,5259;12,653;9,76954
IEEE33_bus_Mon_mon_pv_180_1.csv;D:\Notebook\TCC\MTcc\IEEE33\IEEE_Final\metodologia\03_penetracao_pv\01_dados_brutos_monitores\PEN_100\IEEE33_bus_Mon_mon_pv_180_1.csv;PEN_100;180;1228,76;12,718579996833254;99,3186;82,9246;80,7794;25,9836;15,254;12,4773;9,70545
IEEE33_bus_Mon_mon_pv_130_1.csv;D:\Notebook\TCC\MTcc\IEEE33\IEEE_Final\metodologia\03_penetracao_pv\01_dados_brutos_monitores\PEN_120\IEEE33_bus_Mon_mon_pv_130_1.csv;PEN_120;130;1478,81;14,693417584327277;122,529;118,311;125,221;35,6828;25,4328;20,7125;13,18
IEEE33_bus_Mon_mon_pv_140_1.csv;D:\Notebook\TCC\MTcc\IEEE33\IEEE_Final\metodologia\03_penetracao_pv\01_dados_brutos_monitores\PEN_120\IEEE33_bus_Mon_mon_pv_140_1.csv;PEN_120;140;1487,14;13,617457354098464;119,701;109,445;112,515;33,1369;22,0365;17,7552;12,0621
IEEE33_bus_Mon_mon_pv_150_1.csv;D:\Notebook\TCC\MTcc\IEEE33\IEEE_Final\metodologia\03_penetracao_pv\01_dados_brutos_monitores\PEN_120\IEEE33_bus_Mon_mon_pv_150_1.csv;PEN_120;150;1494,67;12,96570645155649;117,749;104,134;105,15;31,4242;20,224;16,2643;11,4044
IEEE33_bus_Mon_mon_pv_160_1.csv;D:\Notebook\TCC\MTcc\IEEE33\IEEE_Final\metodologia\03_penetracao_pv\01_dados_brutos_monitores\PEN_120\IEEE33_bus_Mon_mon_pv_160_1.csv;PEN_120;160;1501,9;12,476507553322422;116,41;100,018;99,6361;30,2276;18,9956;15,3283;11,0125
